player_id,teamID,nameFirst,nameLast,score
parej002,HOU,Jimmy,Paredes,26.48
nix-l001,PHI,Laynce,Nix,25.89
ramiw001,MIN,Wilkin,Ramirez,24.740000000000002
gimeh001,CHA,Hector,Gimenez,24.590000000000003
holtb002,BOS,Brock,Holt,24.28
quinh001,PHI,Humberto,Quintero,24.099999999999998
noonn001,SFN,Nick,Noonan,23.97
olivm001,MIA,Miguel,Olivo,23.94
marij002,MIA,Jake,Marisnick,23.599999999999998
lairb001,HOU,Brandon,Laird,23.580000000000002
gonza002,MIL,Alex,Gonzalez,23.35
terdj001,ATL,Joey,Terdoslavich,23.020000000000003
boesb001,NYA,Brennan,Boesch,22.51
quirg001,SFN,Guillermo,Quiroz,22.19
owinc001,ARI,Chris,Owings,21.97
valac001,MIA,Chris,Valaika,21.56
bernr001,PHI,Roger,Bernadina,21.240000000000002
kiesr001,SFN,Roger,Kieschnick,21.17
cruzl001,LAN,Luis,Cruz,20.630000000000003
semim001,CHA,Marcus,Semien,20.520000000000003
cirip001,SDN,Pedro,Ciriaco,20.38
sanct001,PIT,Tony,Sanchez,20.360000000000003
river003,SDN,Rene,Rivera,20.22
ingeb001,PIT,Brandon,Inge,19.93
presa001,PIT,Alex,Presley,19.58
sappd001,CHN,Dave,Sappelt,19.25
duncs001,TBA,Shelley,Duncan,19.23
bernd001,MIN,Doug,Bernier,18.689999999999998
younm003,LAN,Michael,Young,18.18
colvt001,COL,Tyler,Colvin,18.03
lutzd001,CIN,Donald,Lutz,18.03
quinh001,SEA,Humberto,Quintero,17.99
nelsc001,COL,Chris,Nelson,17.8
hairs001,WAS,Scott,Hairston,17.63
cirip001,BOS,Pedro,Ciriaco,16.91
cowgc001,NYN,Collin,Cowgill,16.9
brigr001,COL,Reid,Brignac,16.79
gillc002,CHN,Cole,Gillespie,16.66
andir001,SEA,Robert,Andino,16.23
dendm001,NYN,Matt,"den Dekker",15.74
sellj002,LAN,Justin,Sellers,15.35
hinse001,ARI,Eric,Hinske,15.22
campt001,ARI,Tony,Campana,14.71
snydb003,BOS,Brandon,Snyder,14.57
urruh001,BAL,Henry,Urrutia,14.05
mastd002,MIN,Darin,Mastroianni,13.520000000000001
greet004,CHA,Tyler,Greene,13.49
wheer001,COL,Ryan,Wheeler,12.5
teagt001,BAL,Taylor,Teagarden,12.16
marta005,ARI,Alfredo,Marte,12.08
carsm001,CLE,Matt,Carson,11.32
wiggt001,SLN,Ty,Wigginton,10.760000000000002
belte002,TEX,Engel,Beltre,9.8
tekob001,CHA,Blake,Tekotte,9.110000000000001
kobej001,WAS,Jeff,Kobernus,8.98
wongk001,SLN,Kolten,Wong,8.51
franb001,NYA,Ben,Francisco,8.22
pastt001,ATL,Tyler,Pastornicky,8.129999999999999
solaj002,WAS,Jhonatan,Solano,7.859999999999999
consj001,ATL,Jose,Constanza,7.029999999999999
watkl001,CHN,Logan,Watkins,6.7299999999999995
fuenr001,SDN,Reymond,Fuentes,4.62
chama002,SLN,Adron,Chambers,4.04
pie-f001,PIT,Felix,Pie,3.4800000000000004
peteb002,SLN,Brock,Peterson,2.44
